Transporte,Nº Pallet,Material,Texto breve de material,    Ctd.,Cant. mat.,Usuario,Hora,Fecha,Usuario confirma,Hora,Fecha.Conf,Conf.,T. Pallet1
,,,,,,,,,,,,,
6182647,1,120657,"Fanta Naranja Full Sugar PT1,5L x6","3,000","3,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,122954,"Benedictino Pomelo Menta PT2,0cc x 6","3,000","3,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,121323,"Sprite MidCal PT1,5 x 6","1,000","1,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,122289,"Aquarius Uva (PRODUCIDO) PT1,6 x 6","1,000","1,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,122615,"Vital C/G PT 1,6 x 6 term.","1,000","1,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,122905,"Benedictino C/G PT1,5 x 6","23,000","23,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,122285,"Aquarius Pera (PRODUCIDO) PT1,6 x 6","1,000","1,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,124257,"ADV Kiwi 0% PT1,5 x 6","1,000","1,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,122933,"Benedictino Pera PT2,0cc x 6","8,000","8,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,124314,"Andina Nectar Durazno PT1,5 x 6","1,000","1,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,122906,"Benedictino S/G PT1,5 x 6","10,000","10,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,121562,"Sprite Sin Azucar PT1,5 x6","1,000","1,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,122921,Benedictino S/G PT6.5 x 2 Cilindrico,"9,000","9,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,122715,"Vital S/G PT1,6 x 6 Term","2,000","2,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,124214,"Andina Frut Piña PT1,5 x 6","2,000","2,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,122944,"Benedictino Limonada Jengibre PT2,0cc x6","2,000","2,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,120420,"Coca Cola Light PT1,5 x 6","2,000","2,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,120707,"Fanta Pomelo Sin Azúcar PT1,5 x 6 (Comp)","2,000","2,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,121221,"Fanta Nar.Zero+ Vit C PT1,5 x 6","2,000","2,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,124278,"DV Fresh Naranja Mid Cal PT1,5 x 6","1,000","1,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,1,122940,"Benedictino Manzana PT2,0cc x 6","2,000","2,000",FERNANDO CASTILLO,02:01:26,01.03.2025,FERNANDO CASTILLO,02:01:49,01.03.2025,C,PM
6182647,2,120141,Coca Cola Personal 350cc x 24,"1,000","1,000",JEAN ETIENNE,00:47:40,01.03.2025,JEAN ETIENNE,00:48:37,01.03.2025,C,PM
6182647,2,125674,Bidon Benedictino 20lts,"40,000","40,000",JEAN ETIENNE,00:47:40,01.03.2025,JEAN ETIENNE,00:48:37,01.03.2025,C,PM
6182647,3,120447,"Coca Cola Sin Azucar RP3,0 x 6","1,000","1,000",JEAN ETIENNE,00:47:33,01.03.2025,JEAN ETIENNE,00:48:48,01.03.2025,C,PM
6182647,3,121310,Sprite MidCal RP2.0 x 8,"1,000","1,000",JEAN ETIENNE,00:47:33,01.03.2025,JEAN ETIENNE,00:48:48,01.03.2025,C,PM
6182647,3,120250,"Coca Cola RP3,0 x 6","2,000","2,000",JEAN ETIENNE,00:47:33,01.03.2025,JEAN ETIENNE,00:48:48,01.03.2025,C,PM
6182647,3,120112,"Coca Cola RP2,0 L x 8","3,000","3,000",JEAN ETIENNE,00:47:33,01.03.2025,JEAN ETIENNE,00:48:48,01.03.2025,C,PM
6182647,3,120461,"Coca Cola Sin Azucar RP2,0 x 8","7,000","7,000",JEAN ETIENNE,00:47:33,01.03.2025,JEAN ETIENNE,00:48:48,01.03.2025,C,PM
6182647,4,127803,"Vino Gran 120 Blanco 12g VD1,5 x 6","2,000","2,000",CERVEZAS,04:12:57,01.03.2025,CERVEZAS,04:14:08,01.03.2025,C,PM
6182647,4,127845,"Vino 120 Heroes Tinto 12g TT1,0 x 12","1,000","1,000",CERVEZAS,04:12:57,01.03.2025,CERVEZAS,04:14:08,01.03.2025,C,PM
6182647,5,127287,"Cer Becker LT473cc 4,5g 6x4","1,000","1,000",CERVEZAS,04:12:53,01.03.2025,CERVEZAS,04:14:13,01.03.2025,C,PM
6182647,5,127347,"Cer Corona VD330cc 4,5g 6x4","9,000","9,000",CERVEZAS,04:12:53,01.03.2025,CERVEZAS,04:14:13,01.03.2025,C,PM
6182647,5,127356,Cer Budweiser LT473cc 5g 6x4,"3,000","3,000",CERVEZAS,04:12:53,01.03.2025,CERVEZAS,04:14:13,01.03.2025,C,PM
6182647,5,127230,"Cer Quilmes LT473cc 4,9g 6x4","1,000","1,000",CERVEZAS,04:12:53,01.03.2025,CERVEZAS,04:14:13,01.03.2025,C,PM
6182647,5,127426,"Cer Quilmes LT710cc 4,9g x12","4,000","4,000",CERVEZAS,04:12:53,01.03.2025,CERVEZAS,04:14:13,01.03.2025,C,PM
6182647,5,127440,"Cer Becker B-Mix Limon LT354cc 4,2g 6x4","1,000","1,000",CERVEZAS,04:12:53,01.03.2025,CERVEZAS,04:14:13,01.03.2025,C,PM
6182647,5,127224,"Cer Baltica LT473cc 5,8g 6x4","1,000","1,000",CERVEZAS,04:12:53,01.03.2025,CERVEZAS,04:14:13,01.03.2025,C,PM
6182647,5,127394,Cer Budweiser VD330cc 5g 6x4,"2,000","2,000",CERVEZAS,04:12:53,01.03.2025,CERVEZAS,04:14:13,01.03.2025,C,PM
6182647,6,122876,"Schweppes Ginger Ale S/Azucar PT1,5 x 6","1,000","1,000",CRISTIAN REYES,01:34:34,01.03.2025,CRISTIAN REYES,01:36:48,01.03.2025,C,PM
6182647,6,122875,"Schweppes Ginger Ale PT1,5cc x 6","1,000","1,000",CRISTIAN REYES,01:34:34,01.03.2025,CRISTIAN REYES,01:36:48,01.03.2025,C,PM
6182647,6,122977,"Benedictino C/G PT3,0 x 6","6,000","6,000",CRISTIAN REYES,01:34:34,01.03.2025,CRISTIAN REYES,01:36:48,01.03.2025,C,PM
6182647,6,122915,"Benedictino S/G PT3,0 x 6","31,000","31,000",CRISTIAN REYES,01:34:34,01.03.2025,CRISTIAN REYES,01:36:48,01.03.2025,C,PM
